id;pesid;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;sem_estado_fisico
652468;1467634;Condutor;Lesões Leves;29;Masculino;0;1;0;0;0
652468;1467635;Passageiro;Lesões Leves;28;Feminino;0;1;0;0;0
652468;1467636;Condutor;;;;0;0;0;0;1
652468;1467637;Testemunha;;;;0;0;0;0;1
652469;1467627;Condutor;Ileso;26;Masculino;1;0;0;0;0
652469;1467628;Passageiro;Lesões Leves;24;Feminino;0;1;0;0;0
652470;1467668;Condutor;Ileso;23;Masculino;1;0;0;0;0
652470;1467669;Passageiro;Ileso;20;Feminino;1;0;0;0;0
652470;1467670;Condutor;Ileso;60;Masculino;1;0;0;0;0
652470;1467671;Passageiro;Lesões Graves;57;Feminino;0;0;1;0;0
652470;1467672;Passageiro;Ileso;8;Feminino;1;0;0;0;0
652471;1467729;Condutor;Ileso;54;Masculino;1;0;0;0;0
652473;1467641;Condutor;Ileso;26;Masculino;1;0;0;0;0
652473;1467643;Condutor;Ileso;52;Feminino;1;0;0;0;0
652473;1467644;Passageiro;Ileso;60;Masculino;1;0;0;0;0
652474;1467630;Condutor;Ileso;25;Masculino;1;0;0;0;0
652474;1467631;Passageiro;Lesões Leves;18;Feminino;0;1;0;0;0
652474;1469333;Passageiro;Lesões Leves;20;Feminino;0;1;0;0;0
652475;1467648;Condutor;Lesões Leves;27;Masculino;0;1;0;0;0
652476;1467632;Condutor;Lesões Leves;27;Masculino;0;1;0;0;0
652476;1467633;Passageiro;Lesões Leves;31;Masculino;0;1;0;0;0
652477;1467649;Condutor;Óbito;29;Masculino;0;0;0;1;0
652477;1469493;Passageiro;Ileso;19;Feminino;1;0;0;0;0
652477;1469510;Passageiro;Lesões Leves;2;Feminino;0;1;0;0;0
652477;1469511;Testemunha;;;;0;0;0;0;1
652477;1469512;Testemunha;;;;0;0;0;0;1
652478;1467647;Condutor;Ileso;21;Masculino;1;0;0;0;0
652479;1467775;Condutor;;;;0;0;0;0;1
652479;1468236;Condutor;Ileso;49;Masculino;1;0;0;0;0
652480;1467698;Condutor;;;;0;0;0;0;1
652481;1467659;Condutor;Ileso;22;Masculino;1;0;0;0;0
652481;1467660;Pedestre;Lesões Graves;17;Masculino;0;0;1;0;0
652481;1467661;Testemunha;;;;0;0;0;0;1
652482;1467725;Condutor;Ileso;30;Masculino;1;0;0;0;0
652482;1467726;Condutor;Lesões Graves;24;Masculino;0;0;1;0;0
652482;1467727;Passageiro;Lesões Graves;29;Feminino;0;0;1;0;0
652482;1467728;Condutor;Lesões Leves;32;Masculino;0;1;0;0;0
652483;1467732;Condutor;Lesões Graves;41;Masculino;0;0;1;0;0
652484;1467652;Condutor;Ileso;56;Masculino;1;0;0;0;0
652484;1467653;Condutor;Lesões Leves;23;Masculino;0;1;0;0;0
652484;1467654;Passageiro;Lesões Graves;22;Feminino;0;0;1;0;0
652485;1467656;Condutor;Lesões Graves;23;Masculino;0;0;1;0;0
652485;1467657;Condutor;;;;0;0;0;0;1
652486;1467655;Condutor;;;;0;0;0;0;1
652487;1467665;Condutor;;;;0;0;0;0;1
652489;1467673;Condutor;Ileso;27;Masculino;1;0;0;0;0
652489;1467675;Passageiro;Lesões Leves;23;Masculino;0;1;0;0;0
652489;1467678;Passageiro;Ileso;30;Masculino;1;0;0;0;0
652489;1467679;Passageiro;Ileso;22;Feminino;1;0;0;0;0
652489;1467682;Passageiro;Ileso;17;Feminino;1;0;0;0;0
652490;1467667;Condutor;;;;0;0;0;0;1
652491;1467716;Condutor;Lesões Leves;51;Masculino;0;1;0;0;0
652491;1467719;Condutor;Ileso;26;Masculino;1;0;0;0;0
652492;1467674;Condutor;;;;0;0;0;0;1
652492;1467676;Passageiro;;;;0;0;0;0;1
652493;1467686;Condutor;;;;0;0;0;0;1
652493;1467687;Condutor;Lesões Leves;57;Masculino;0;1;0;0;0
652494;1467700;Condutor;Lesões Leves;44;Masculino;0;1;0;0;0
652494;1467701;Passageiro;Ileso;37;Feminino;1;0;0;0;0
652495;1467681;Condutor;Ileso;29;Masculino;1;0;0;0;0
652496;1467724;Condutor;Ileso;59;Masculino;1;0;0;0;0
652497;1469442;Condutor;Lesões Leves;35;Masculino;0;1;0;0;0
652500;1467748;Condutor;;;;0;0;0;0;1
652500;1467749;Condutor;Ileso;28;Feminino;1;0;0;0;0
652501;1467685;Condutor;Lesões Leves;29;Masculino;0;1;0;0;0
