linha_origem;id;pesid;coluna;valor_original;motivo;acao
6170;653206;1471609;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
6175;653206;1471609;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
6187;653211;1471300;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
6192;653211;1471300;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
6197;653211;1471300;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17939;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17943;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17947;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17951;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17955;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17959;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17963;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17967;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17971;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17975;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17979;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17983;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17987;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
17991;654648;1473913;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
23162;655326;1475645;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
23163;655326;1475639;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
23170;655326;1475645;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
23171;655326;1475639;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
26880;655837;1477221;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
26881;655837;1477219;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
29243;656219;1478027;idade;2024;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
42015;658043;1483058;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
42016;658043;1483057;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
42017;658043;1483056;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
43889;658298;1483566;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
43890;658298;1483565;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
43892;658298;1483559;idade;1025;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
47740;658841;1484925;idade;824;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
61579;660917;1492132;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
69689;662072;1492919;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73197;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73203;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73209;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73215;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73221;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73227;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73233;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73239;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
73245;662608;1495965;idade;1914;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
76530;663166;1495507;idade;1924;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79357;663578;1496581;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79360;663578;1496550;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79362;663578;1496548;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79364;663578;1496546;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79365;663578;1496545;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79366;663578;1496544;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79367;663578;1496543;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79368;663578;1496542;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79372;663578;1496537;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79373;663578;1496536;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79374;663578;1496535;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79375;663578;1496534;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79376;663578;1496533;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79377;663578;1496532;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79378;663578;1496531;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79380;663578;1496529;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79381;663578;1496528;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79383;663578;1496526;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79416;663578;1496581;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79419;663578;1496550;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79421;663578;1496548;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79423;663578;1496546;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79424;663578;1496545;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79425;663578;1496544;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79426;663578;1496543;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79427;663578;1496542;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79431;663578;1496537;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79432;663578;1496536;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
79433;663578;1496535;idade;125;idade fora do intervalo plausivel 0-120;"valor convertido em ausencia; registro mantido na base"
