coluna;valor;frequencia;pct
dia_semana;sábado;93778;16.0576
dia_semana;domingo;93672;16.0395
dia_semana;sexta-feira;93659;16.0372
dia_semana;segunda-feira;80118;13.7186
dia_semana;quinta-feira;76512;13.1011
dia_semana;quarta-feira;73941;12.6609
dia_semana;terça-feira;72330;12.3851
uf;MG;82397;14.1088
uf;PR;70759;12.1161
uf;SC;51403;8.8017
uf;RS;35952;6.1561
uf;BA;33498;5.7359
uf;SP;32280;5.5273
uf;RJ;31474;5.3893
uf;GO;30070;5.1489
uf;MT;26891;4.6045
uf;PE;25046;4.2886
uf;MS;18774;3.2147
uf;RO;18769;3.2138
uf;PI;17314;2.9647
uf;PB;16246;2.7818
uf;ES;16134;2.7626
uf;PA;15109;2.5871
uf;MA;12712;2.1767
uf;CE;10496;1.7972
uf;RN;9123;1.5621
uf;DF;7823;1.3395
uf;TO;7455;1.2765
uf;AL;3554;0.6086
uf;SE;3275;0.5608
uf;AC;3124;0.5349
uf;AP;1700;0.2911
uf;AM;1396;0.239
uf;RR;1236;0.2116
causa_principal;Sim;346083;59.2598
causa_principal;Não;237927;40.7402
classificacao_acidente;Com Vítimas Feridas;435193;74.5181
classificacao_acidente;Com Vítimas Fatais;94032;16.1011
classificacao_acidente;Sem Vítimas;54778;9.3796
classificacao_acidente;<AUSENTE>;7;0.0012
fase_dia;Pleno dia;324063;55.4893
fase_dia;Plena Noite;195169;33.4188
fase_dia;Anoitecer;33480;5.7328
fase_dia;Amanhecer;31298;5.3592
sentido_via;Crescente;316401;54.1773
sentido_via;Decrescente;266165;45.5754
sentido_via;Não Informado;1444;0.2473
condicao_metereologica;Céu Claro;364421;62.3998
condicao_metereologica;Nublado;91831;15.7242
condicao_metereologica;Chuva;59783;10.2366
condicao_metereologica;Sol;33526;5.7407
condicao_metereologica;Garoa/Chuvisco;20603;3.5279
condicao_metereologica;Ignorado;7130;1.2209
condicao_metereologica;Nevoeiro/Neblina;5364;0.9185
condicao_metereologica;Vento;1350;0.2312
condicao_metereologica;Neve;2;0.0003
tipo_pista;Simples;319222;54.6604
tipo_pista;Dupla;216150;37.0114
tipo_pista;Múltipla;48638;8.3283
tracado_via;Reta;298900;51.1806
tracado_via;Curva;59456;10.1806
tracado_via;"Reta;Declive";21535;3.6874
tracado_via;"Reta;Aclive";19733;3.3789
tracado_via;"Curva;Declive";17031;2.9162
tracado_via;"Declive;Reta";15341;2.6268
tracado_via;"Aclive;Reta";14960;2.5616
tracado_via;"Declive;Curva";14399;2.4655
tracado_via;"Reta;Interseção de Vias";10623;1.819
tracado_via;Interseção de Vias;10378;1.777
tracado_via;"Aclive;Curva";7619;1.3046
tracado_via;Declive;6987;1.1964
tracado_via;"Interseção de Vias;Reta";6160;1.0548
tracado_via;Aclive;6049;1.0358
tracado_via;"Curva;Aclive";5840;1.0
tracado_via;Rotatória;5826;0.9976
tracado_via;"Reta;Em Obras";4593;0.7865
tracado_via;"Retorno Regulamentado;Reta";4032;0.6904
tracado_via;"Reta;Ponte";3427;0.5868
tracado_via;"Em Obras;Reta";3242;0.5551
tracado_via;Retorno Regulamentado;2910;0.4983
tracado_via;"Reta;Retorno Regulamentado";2868;0.4911
tracado_via;"Reta;Viaduto";2124;0.3637
tracado_via;"Reta;Rotatória";1540;0.2637
tracado_via;Viaduto;1396;0.239
tracado_via;"Ponte;Reta";1237;0.2118
tracado_via;"Interseção de Vias;Rotatória";1167;0.1998
tracado_via;"Curva;Interseção de Vias";970;0.1661
tracado_via;"Interseção de Vias;Curva";823;0.1409
tracado_via;"Declive;Reta;Em Obras";677;0.1159
tracado_via;Ponte;660;0.113
tracado_via;"Curva;Em Obras";612;0.1048
tracado_via;"Viaduto;Reta";576;0.0986
tracado_via;"Reta;Em Obras;Declive";560;0.0959
tracado_via;"Reta;Aclive;Interseção de Vias";502;0.086
tracado_via;"Viaduto;Interseção de Vias";458;0.0784
tracado_via;"Curva;Retorno Regulamentado";457;0.0783
tracado_via;"Declive;Em Obras;Curva";455;0.0779
tracado_via;"Reta;Interseção de Vias;Declive";428;0.0733
tracado_via;"Rotatória;Interseção de Vias";413;0.0707
tracado_via;"Aclive;Reta;Viaduto";378;0.0647
tracado_via;"Rotatória;Reta";370;0.0634
tracado_via;"Reta;Desvio Temporário";370;0.0634
tracado_via;"Em Obras;Curva";358;0.0613
tracado_via;"Aclive;Interseção de Vias;Reta";357;0.0611
tracado_via;"Reta;Declive;Interseção de Vias";350;0.0599
tracado_via;"Curva;Rotatória";346;0.0592
tracado_via;Em Obras;339;0.058
tracado_via;"Retorno Regulamentado;Curva";335;0.0574
tracado_via;"Interseção de Vias;Reta;Declive";334;0.0572
tracado_via;"Interseção de Vias;Declive;Reta";318;0.0545
tracado_via;"Reta;Em Obras;Desvio Temporário";315;0.0539
tracado_via;"Em Obras;Declive;Curva";308;0.0527
tracado_via;"Em Obras;Reta;Desvio Temporário";287;0.0491
tracado_via;"Interseção de Vias;Retorno Regulamentado";286;0.049
tracado_via;"Curva;Viaduto";281;0.0481
tracado_via;Desvio Temporário;278;0.0476
tracado_via;"Viaduto;Curva";277;0.0474
tracado_via;"Reta;Declive;Em Obras";271;0.0464
tracado_via;"Declive;Interseção de Vias";269;0.0461
tracado_via;"Reta;Interseção de Vias;Retorno Regulamentado";261;0.0447
tracado_via;"Declive;Ponte";258;0.0442
tracado_via;"Interseção de Vias;Reta;Rotatória";250;0.0428
tracado_via;"Reta;Aclive;Viaduto";247;0.0423
tracado_via;"Reta;Em Obras;Ponte";218;0.0373
tracado_via;"Reta;Interseção de Vias;Rotatória";209;0.0358
tracado_via;"Desvio Temporário;Em Obras;Reta";206;0.0353
tracado_via;"Ponte;Reta;Declive";201;0.0344
tracado_via;"Aclive;Viaduto";200;0.0342
tracado_via;"Reta;Viaduto;Declive";200;0.0342
tracado_via;"Interseção de Vias;Viaduto";196;0.0336
tracado_via;"Curva;Declive;Em Obras";193;0.033
tracado_via;"Interseção de Vias;Declive;Curva";189;0.0324
tracado_via;"Ponte;Reta;Em Obras";183;0.0313
tracado_via;"Curva;Ponte";180;0.0308
tracado_via;"Interseção de Vias;Declive";176;0.0301
tracado_via;"Retorno Regulamentado;Interseção de Vias;Rotatória";170;0.0291
tracado_via;"Retorno Regulamentado;Interseção de Vias;Aclive;Curva";168;0.0288
tracado_via;"Retorno Regulamentado;Reta;Interseção de Vias";167;0.0286
tracado_via;"Aclive;Interseção de Vias";165;0.0283
tracado_via;"Declive;Viaduto";165;0.0283
tracado_via;"Reta;Ponte;Em Obras";165;0.0283
tracado_via;"Desvio Temporário;Reta;Em Obras";164;0.0281
tracado_via;"Interseção de Vias;Retorno Regulamentado;Reta";162;0.0277
tracado_via;"Ponte;Curva";161;0.0276
tracado_via;"Declive;Rotatória";161;0.0276
tracado_via;"Reta;Interseção de Vias;Viaduto";161;0.0276
tracado_via;"Reta;Declive;Ponte";159;0.0272
tracado_via;"Declive;Curva;Ponte";158;0.0271
tracado_via;"Reta;Declive;Viaduto";158;0.0271
tracado_via;"Retorno Regulamentado;Interseção de Vias";156;0.0267
tracado_via;"Reta;Viaduto;Aclive";156;0.0267
tracado_via;"Declive;Interseção de Vias;Reta";155;0.0265
tracado_via;"Aclive;Em Obras;Reta";155;0.0265
tracado_via;"Declive;Reta;Interseção de Vias";152;0.026
tracado_via;"Aclive;Reta;Em Obras";144;0.0247
