coluna;nivel;nao_nulos;nulos;pct_nulos;valores_distintos;formato_invalido;exemplos_formato_invalido;com_espaco_nas_bordas;tokens_texto_de_ausencia
id;ocorrencia;584010;0;0.0;;0;;0;
pesid;pessoa;527209;56801;9.726;;0;;0;
data_inversa;ocorrencia;584010;0;0.0;;0;;0;
dia_semana;ocorrencia;584010;0;0.0;7;0;;0;
horario;ocorrencia;584010;0;0.0;;0;;0;
uf;ocorrencia;584010;0;0.0;27;0;;0;
br;ocorrencia;582566;1444;0.2473;;0;;0;
km;ocorrencia;582566;1444;0.2473;;0;;0;
municipio;ocorrencia;584010;0;0.0;;0;;0;
causa_principal;causa;584010;0;0.0;2;0;;0;
causa_acidente;causa;584010;0;0.0;70;0;;0;
ordem_tipo_acidente;tipo_evento;584010;0;0.0;14;0;;0;
tipo_acidente;tipo_evento;584010;0;0.0;17;0;;0;
classificacao_acidente;ocorrencia;584003;7;0.0012;4;0;;0;
fase_dia;ocorrencia;584010;0;0.0;4;0;;0;
sentido_via;ocorrencia;584010;0;0.0;3;0;;0;
condicao_metereologica;ocorrencia;584010;0;0.0;9;0;;0;Ignorado=7130
tipo_pista;ocorrencia;584010;0;0.0;3;0;;0;
tracado_via;ocorrencia;584010;0;0.0;605;0;;0;
uso_solo;ocorrencia;584010;0;0.0;2;0;;0;
id_veiculo;veiculo;565393;18617;3.1878;;0;;0;
tipo_veiculo;veiculo;565393;18617;3.1878;26;0;;0;
marca;veiculo;584010;0;0.0;;0;;0;
ano_fabricacao_veiculo;veiculo;565393;18617;3.1878;;0;;0;
tipo_envolvido;pessoa;527209;56801;9.726;6;0;;0;
estado_fisico;pessoa;527209;56801;9.726;6;0;;0;
idade;pessoa;478397;105613;18.0841;;0;;0;
sexo;pessoa;527209;56801;9.726;5;0;;0;Ignorado=1171
ilesos;pessoa;527209;56801;9.726;3;0;;0;
feridos_leves;pessoa;527209;56801;9.726;3;0;;0;
feridos_graves;pessoa;527209;56801;9.726;3;0;;0;
mortos;pessoa;527209;56801;9.726;3;0;;0;
latitude;ocorrencia;584010;0;0.0;;0;;0;
longitude;ocorrencia;584010;0;0.0;;0;;0;
regional;ocorrencia;583994;16;0.0027;29;0;;0;
delegacia;ocorrencia;583820;190;0.0325;;0;;0;
uop;ocorrencia;583567;443;0.0759;;0;;0;
