original;canonico
Aclive;Aclive
"Aclive;Curva";"Aclive;Curva"
"Curva;Aclive";"Aclive;Curva"
"Desvio Temporário;Aclive;Curva";"Aclive;Curva;Desvio Temporário"
"Desvio Temporário;Curva;Aclive";"Aclive;Curva;Desvio Temporário"
"Desvio Temporário;Em Obras;Aclive;Curva";"Aclive;Curva;Desvio Temporário;Em Obras"
"Curva;Aclive;Desvio Temporário;Em Obras";"Aclive;Curva;Desvio Temporário;Em Obras"
"Desvio Temporário;Aclive;Curva;Em Obras";"Aclive;Curva;Desvio Temporário;Em Obras"
"Curva;Desvio Temporário;Em Obras;Aclive";"Aclive;Curva;Desvio Temporário;Em Obras"
"Aclive;Desvio Temporário;Ponte;Curva";"Aclive;Curva;Desvio Temporário;Ponte"
"Aclive;Em Obras;Curva";"Aclive;Curva;Em Obras"
"Em Obras;Aclive;Curva";"Aclive;Curva;Em Obras"
"Curva;Aclive;Em Obras";"Aclive;Curva;Em Obras"
"Aclive;Curva;Em Obras";"Aclive;Curva;Em Obras"
"Em Obras;Curva;Aclive";"Aclive;Curva;Em Obras"
"Aclive;Curva;Interseção de Vias;Em Obras";"Aclive;Curva;Em Obras;Interseção de Vias"
"Aclive;Interseção de Vias;Em Obras;Curva";"Aclive;Curva;Em Obras;Interseção de Vias"
"Em Obras;Aclive;Curva;Retorno Regulamentado";"Aclive;Curva;Em Obras;Retorno Regulamentado"
"Interseção de Vias;Curva;Aclive";"Aclive;Curva;Interseção de Vias"
"Interseção de Vias;Aclive;Curva";"Aclive;Curva;Interseção de Vias"
"Aclive;Curva;Interseção de Vias";"Aclive;Curva;Interseção de Vias"
"Aclive;Interseção de Vias;Curva";"Aclive;Curva;Interseção de Vias"
"Curva;Aclive;Interseção de Vias";"Aclive;Curva;Interseção de Vias"
"Curva;Interseção de Vias;Aclive";"Aclive;Curva;Interseção de Vias"
"Interseção de Vias;Ponte;Curva;Aclive;Viaduto";"Aclive;Curva;Interseção de Vias;Ponte;Viaduto"
"Retorno Regulamentado;Interseção de Vias;Aclive;Curva";"Aclive;Curva;Interseção de Vias;Retorno Regulamentado"
"Curva;Interseção de Vias;Aclive;Rotatória";"Aclive;Curva;Interseção de Vias;Rotatória"
"Interseção de Vias;Curva;Aclive;Rotatória";"Aclive;Curva;Interseção de Vias;Rotatória"
"Aclive;Curva;Interseção de Vias;Rotatória";"Aclive;Curva;Interseção de Vias;Rotatória"
"Curva;Aclive;Ponte";"Aclive;Curva;Ponte"
"Aclive;Curva;Ponte";"Aclive;Curva;Ponte"
"Ponte;Curva;Aclive";"Aclive;Curva;Ponte"
"Ponte;Aclive;Curva";"Aclive;Curva;Ponte"
"Aclive;Curva;Retorno Regulamentado";"Aclive;Curva;Retorno Regulamentado"
"Aclive;Retorno Regulamentado;Curva";"Aclive;Curva;Retorno Regulamentado"
"Curva;Aclive;Retorno Regulamentado";"Aclive;Curva;Retorno Regulamentado"
"Retorno Regulamentado;Curva;Aclive";"Aclive;Curva;Retorno Regulamentado"
"Curva;Retorno Regulamentado;Aclive";"Aclive;Curva;Retorno Regulamentado"
"Retorno Regulamentado;Aclive;Curva";"Aclive;Curva;Retorno Regulamentado"
"Retorno Regulamentado;Aclive;Viaduto;Curva";"Aclive;Curva;Retorno Regulamentado;Viaduto"
"Curva;Aclive;Retorno Regulamentado;Viaduto";"Aclive;Curva;Retorno Regulamentado;Viaduto"
"Rotatória;Aclive;Curva";"Aclive;Curva;Rotatória"
"Curva;Rotatória;Aclive";"Aclive;Curva;Rotatória"
"Curva;Aclive;Rotatória";"Aclive;Curva;Rotatória"
"Aclive;Curva;Rotatória";"Aclive;Curva;Rotatória"
"Aclive;Curva;Túnel";"Aclive;Curva;Túnel"
"Aclive;Curva;Viaduto";"Aclive;Curva;Viaduto"
"Curva;Viaduto;Aclive";"Aclive;Curva;Viaduto"
"Viaduto;Aclive;Curva";"Aclive;Curva;Viaduto"
"Curva;Aclive;Viaduto";"Aclive;Curva;Viaduto"
"Aclive;Viaduto;Curva";"Aclive;Curva;Viaduto"
"Viaduto;Curva;Aclive";"Aclive;Curva;Viaduto"
"Desvio Temporário;Aclive";"Aclive;Desvio Temporário"
"Desvio Temporário;Em Obras;Aclive";"Aclive;Desvio Temporário;Em Obras"
"Desvio Temporário;Aclive;Em Obras";"Aclive;Desvio Temporário;Em Obras"
"Em Obras;Desvio Temporário;Aclive";"Aclive;Desvio Temporário;Em Obras"
"Aclive;Em Obras;Desvio Temporário";"Aclive;Desvio Temporário;Em Obras"
"Reta;Aclive;Desvio Temporário;Em Obras";"Aclive;Desvio Temporário;Em Obras;Reta"
"Reta;Desvio Temporário;Aclive;Em Obras";"Aclive;Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Em Obras;Reta;Aclive";"Aclive;Desvio Temporário;Em Obras;Reta"
"Desvio Temporário;Reta;Em Obras;Aclive";"Aclive;Desvio Temporário;Em Obras;Reta"
"Reta;Desvio Temporário;Em Obras;Aclive";"Aclive;Desvio Temporário;Em Obras;Reta"
"Reta;Aclive;Em Obras;Desvio Temporário";"Aclive;Desvio Temporário;Em Obras;Reta"
"Reta;Em Obras;Aclive;Desvio Temporário";"Aclive;Desvio Temporário;Em Obras;Reta"
"Em Obras;Aclive;Desvio Temporário;Reta";"Aclive;Desvio Temporário;Em Obras;Reta"
"Aclive;Desvio Temporário;Em Obras;Reta";"Aclive;Desvio Temporário;Em Obras;Reta"
"Aclive;Em Obras";"Aclive;Em Obras"
"Em Obras;Aclive";"Aclive;Em Obras"
"Interseção de Vias;Aclive;Em Obras;Reta";"Aclive;Em Obras;Interseção de Vias;Reta"
"Interseção de Vias;Reta;Aclive;Em Obras";"Aclive;Em Obras;Interseção de Vias;Reta"
