atributo;importancia
categoricas__faixa_horaria_Madrugada;0.3933364090612369
categoricas__uso_solo_Urbano;0.1811855803323756
categoricas__fase_dia_Pleno Dia;0.13190029907069306
categoricas__tipo_pista_Simples;0.10768492326692028
categoricas__fim_de_semana_Sim;0.06099287549864697
categoricas__fase_dia_Plena Noite;0.02558163747377665
categoricas__tracado_via_Reta;0.022382587594430275
categoricas__fim_de_semana_Não;0.018201503261883526
categoricas__dia_semana_Domingo;0.009841735223848293
categoricas__mes_4;0.008342360670369664
categoricas__fase_dia_Amanhecer;0.008064753740696613
categoricas__tracado_via_Curva;0.0071654372929168125
categoricas__mes_2;0.004733056841472558
categoricas__tipo_pista_Dupla;0.004700410482595038
categoricas__mes_10;0.004425107090170096
categoricas__mes_5;0.0036300236830798974
categoricas__mes_7;0.003531929823880723
categoricas__mes_9;0.0027006975940762723
categoricas__uso_solo_Rural;0.001598671996930713
