atributo;importancia
categoricas__tipo_pista_Simples;0.36635227348424787
categoricas__fase_dia_Pleno Dia;0.2843323313318509
categoricas__uso_solo_Urbano;0.18356659991411373
categoricas__faixa_horaria_Madrugada;0.0896591685596795
categoricas__fim_de_semana_Sim;0.014480790154323362
categoricas__fim_de_semana_Não;0.014330414987304823
"categoricas__tracado_via_Curva;Declive";0.014081783181723354
categoricas__uso_solo_Rural;0.01214619937443221
categoricas__tracado_via_Rotatória;0.011469367343722687
categoricas__condicao_metereologica_Chuva;0.00592890612269277
categoricas__mes_1;0.0036521655459087568
